Anomaly,year,temp,temp_c,anomaly_c,state
1.54,1960,52.59,29.21666666666667,0.8555555555555555,Average
-0.89,1960,59.31,32.95,-0.49444444444444446,Average
0.59,1960,69.08,38.37777777777777,0.3277777777777778,Average
0.28,1960,73.89,41.05,0.15555555555555556,Average
0.11,1960,72.21,40.11666666666666,0.06111111111111111,Average
1.59,1960,66.45,36.916666666666664,0.8833333333333333,Average
0.66,1960,54.77,30.427777777777777,0.3666666666666667,Average
1.04,1960,42.73,23.738888888888887,0.5777777777777778,Average
-2.28,1960,30.4,16.88888888888889,-1.2666666666666666,Average
-0.41,1961,29.71,16.505555555555556,-0.22777777777777775,Average
3.6,1961,37.42,20.788888888888888,2,Average
1.97,1961,43.47,24.15,1.0944444444444443,Average
-2.38,1961,48.67,27.038888888888888,-1.3222222222222222,Average
-1.33,1961,58.87,32.705555555555556,-0.7388888888888889,Average
1,1961,69.49,38.605555555555554,0.5555555555555556,Average
-0.37,1961,73.24,40.68888888888888,-0.20555555555555555,Average
0.6,1961,72.7,40.38888888888889,0.3333333333333333,Average
-1.45,1961,63.41,35.227777777777774,-0.8055555555555555,Average
-0.26,1961,53.85,29.916666666666668,-0.14444444444444446,Average
-1.19,1961,40.5,22.5,-0.6611111111111111,Average
-1.6,1961,31.08,17.266666666666666,-0.888888888888889,Average
-3.16,1962,26.96,14.977777777777778,-1.7555555555555555,Average
1.1,1962,34.92,19.400000000000002,0.6111111111111112,Average
-3.6,1962,37.9,21.055555555555554,-2,Average
0.79,1962,51.84,28.8,0.4388888888888889,Average
2.04,1962,62.24,34.577777777777776,1.1333333333333333,Average
-0.58,1962,67.91,37.727777777777774,-0.3222222222222222,Average
-1.54,1962,72.07,40.038888888888884,-0.8555555555555555,Average
0.02,1962,72.12,40.06666666666667,0.011111111111111112,Average
-0.68,1962,64.18,35.65555555555556,-0.37777777777777777,Average
2.01,1962,56.12,31.177777777777777,1.1166666666666665,Average
1.49,1962,43.18,23.988888888888887,0.8277777777777777,Average
0.72,1962,33.4,18.555555555555554,0.39999999999999997,Average
-5.68,1963,24.44,13.577777777777778,-3.1555555555555554,Average
0.3,1963,34.12,18.955555555555552,0.16666666666666666,Average
2.22,1963,43.72,24.288888888888888,1.2333333333333334,Average
0.84,1963,51.89,28.827777777777776,0.4666666666666666,Average
0.82,1963,61.02,33.9,0.4555555555555555,Average
0.18,1963,68.67,38.15,0.09999999999999999,Average
-0.01,1963,73.6,40.888888888888886,-0.005555555555555556,Average
-0.12,1963,71.98,39.98888888888889,-0.06666666666666667,Average
1.48,1963,66.34,36.855555555555554,0.8222222222222222,Average
5.25,1963,59.36,32.977777777777774,2.9166666666666665,Average
